Szpin Renáta	165 cm
Anna Werbliñska	178 cm
Tanja Matic	178 cm
Tálas Zsuzsanna	178 cm
Sabina Altynbekova	182 cm
Gözde Kirdar Sonsirma	183 cm
Francesca Piccinini	184 cm
Yelizaveta Mammadova	184 cm
Tandara Caixeta	184 cm
Debby Stam-Pilon	184 cm
Charlotte Leys	184 cm
Agnieszka Bednarek-Kasza	185 cm
Eleonora Dziêkiewicz	185 cm
Bodnár Dorottya	185 cm
Ivana Ðerisilo	185 cm
Jaqueline Carvalho	186 cm
Logan Tom	186 cm
Naz Aydemir	186 cm
Nikola Radosová	186 cm
Neslihan Demir	187 cm
Martina Guiggi	188 cm
Marianne Steinbrecher	188 cm
Katarzyna Skowroñska-Dolata	189 cm
Malgorzata Glinka-Mogentale	191 cm
Gabrielle Reece	191 cm
Lise Van Hecke	191 cm
Anja Spasojevic	191 cm
Lioubov Sokolova Kiliç	192 cm
Robin de Kruijf	193 cm
Milena Rašic	193 cm
Cristina Chirichella	195 cm
Jovana Brakocevic	196 cm
Thaísa Menezes	196 cm
Yekaterina Gamova	202 cm
